SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_8,adm2_9,adm2_2,adm2_1,adm2_6,adm2_3,adm2_7,adm2_4,adm2_5
36448,2472,2,32,12,224,213,12.529999999999998,6.6499999999999995,NA,0,9,0,1,0,0,0,0,0,0,0
36452,5775,2,40,14,312,299,14.540000000000003,8.559999999999999,NA,0,6,0,0,0,0,1,0,0,0,0
36453,521,2,42,23,39,99,10.110000000000001,7.4399999999999995,NA,0,1,0,0,0,1,0,0,0,0,0
36529,4572,2,59,11,3,84,9.82,5.4799999999999995,NA,0,3,0,0,0,0,0,1,0,0,0
36542,7919,2,35,23,18,57,6.089999999999999,4.609999999999999,NA,0,5,0,0,0,0,0,0,0,0,1
36575,10981,2,35,15,2,161,16.919999999999998,11.87,NA,0,1,0,0,0,1,0,0,0,0,0
36588,9293,2,58,18,35,214,26.310000000000002,16.23,NA,0,6,0,0,0,0,1,0,0,0,0
36601,305,2,30,30,776,311,11.999999999999998,6.119999999999999,NA,0,4,0,0,0,0,0,0,0,1,0
36609,1324,2,30,26,3,89,9.299999999999999,6.95,NA,0,4,0,0,0,0,0,0,0,1,0
36691,7850,2,21,1,15,130,5.68,4.27,NA,1,1,0,0,0,1,0,0,0,0,0
36696,3304,2,57,2,10,162,12.64,8.850000000000001,NA,0,4,0,0,0,0,0,0,0,1,0
36737,10699,2,55,17,6,201,16.03,10.76,NA,0,6,0,0,0,0,1,0,0,0,0
36745,9504,2,60,19,12,102,7.999999999999999,5.009999999999999,NA,0,6,0,0,0,0,1,0,0,0,0
