SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_7,adm2_9,adm2_5,adm2_4,adm2_6,adm2_1,adm2_8,adm2_2,adm2_3,adm2_10
7220,8784,2,25,28,6,1,NA,2218,0,3,0,0,0,0,0,0,0,0,1,0
7235,4222,2,50,24,7,0,NA,1453,1,6,0,0,0,0,1,0,0,0,0,0
7258,589,2,19,15,3,1,NA,1663,0,9,0,1,0,0,0,0,0,0,0,0
7261,5434,2,70,19,5,0,NA,1210,0,2,0,0,0,0,0,0,0,1,0,0
7335,8275,2,38,7,4,1,NA,1099,0,1,0,0,0,0,0,1,0,0,0,0
7345,9811,2,50,21,1,0,NA,1666,1,1,0,0,0,0,0,1,0,0,0,0
7372,4161,2,28,19,5,1,NA,1576,0,2,0,0,0,0,0,0,0,1,0,0
7383,11640,2,20,16,7,1,NA,1429,1,3,0,0,0,0,0,0,0,0,1,0
7401,226,2,19,21,6,1,NA,1280,0,3,0,0,0,0,0,0,0,0,1,0
7430,1440,2,60,25,2,0,NA,1651,0,5,0,0,1,0,0,0,0,0,0,0
7436,1440,2,22,25,2,1,NA,1814,0,5,0,0,1,0,0,0,0,0,0,0
7464,53,2,80,9,3,0,NA,666,0,9,0,1,0,0,0,0,0,0,0,0
7465,10708,2,40,14,4,1,NA,1098,0,8,0,0,0,0,0,0,1,0,0,0
7568,3202,2,40,4,1,1,NA,1662,1,1,0,0,0,0,0,1,0,0,0,0
7574,9784,2,25,2,4,1,NA,1074,0,2,0,0,0,0,0,0,0,1,0,0
7598,8869,2,22,23,6,1,NA,523,0,6,0,0,0,0,1,0,0,0,0,0
7625,11074,2,19,23,7,1,NA,1516,1,5,0,0,1,0,0,0,0,0,0,0
7626,6357,2,50,20,7,0,NA,2329,1,1,0,0,0,0,0,1,0,0,0,0
7695,180,2,45,4,5,1,NA,543,0,9,0,1,0,0,0,0,0,0,0,0
7700,11380,2,38,28,2,1,NA,1299,0,7,1,0,0,0,0,0,0,0,0,0
7727,4979,2,39,25,2,1,NA,1643,0,5,0,0,1,0,0,0,0,0,0,0
7729,5579,2,35,4,4,1,NA,2450,0,6,0,0,0,0,1,0,0,0,0,0
7737,6441,2,20,27,4,1,NA,1653,0,4,0,0,0,1,0,0,0,0,0,0
7762,9627,2,42,28,6,1,NA,1563,0,3,0,0,0,0,0,0,0,0,1,0
7786,4079,2,60,22,3,0,NA,1323,0,7,1,0,0,0,0,0,0,0,0,0
7799,1657,2,45,8,1,1,NA,2014,1,6,0,0,0,0,1,0,0,0,0,0
7802,5450,2,35,4,4,1,NA,2039,0,5,0,0,1,0,0,0,0,0,0,0
7803,9939,2,40,22,3,1,NA,886,0,7,1,0,0,0,0,0,0,0,0,0
7807,884,2,26,3,5,1,NA,2278,0,2,0,0,0,0,0,0,0,1,0,0
7823,5073,2,19,6,6,1,NA,2556,0,5,0,0,1,0,0,0,0,0,0,0
7849,1266,2,26,12,5,1,NA,2079,0,10,0,0,0,0,0,0,0,0,0,1
7872,4162,2,18,2,6,1,NA,1352,0,1,0,0,0,0,0,1,0,0,0,0
7969,7402,2,45,24,5,1,NA,1857,0,1,0,0,0,0,0,1,0,0,0,0
7979,8700,2,50,7,1,0,NA,1259,1,9,0,1,0,0,0,0,0,0,0,0
7981,6965,2,45,5,6,1,NA,1841,0,9,0,1,0,0,0,0,0,0,0,0
8005,8475,2,58,17,3,0,NA,1715,0,2,0,0,0,0,0,0,0,1,0,0
8015,4093,2,40,16,4,1,NA,1072,0,7,1,0,0,0,0,0,0,0,0,0
8022,5875,2,28,12,5,1,NA,1827,0,10,0,0,0,0,0,0,0,0,0,1
8073,3619,2,50,6,2,0,NA,1417,0,7,1,0,0,0,0,0,0,0,0,0
8118,8431,2,38,2,2,1,NA,1586,0,8,0,0,0,0,0,0,1,0,0,0
8167,6357,2,30,20,7,1,NA,1465,1,1,0,0,0,0,0,1,0,0,0,0
8178,10136,2,22,19,5,1,NA,1459,0,2,0,0,0,0,0,0,0,1,0,0
8249,5073,2,60,6,6,0,NA,2634,0,5,0,0,1,0,0,0,0,0,0,0
8318,10756,2,20,27,4,1,NA,1033,0,5,0,0,1,0,0,0,0,0,0,0
8345,10801,2,42,2,1,1,NA,1888,1,5,0,0,1,0,0,0,0,0,0,0
8389,6905,2,35,6,2,1,NA,844,0,7,1,0,0,0,0,0,0,0,0,0
8395,53,2,19,9,3,1,NA,724,0,9,0,1,0,0,0,0,0,0,0,0
8415,1404,2,20,9,2,1,NA,1752,0,10,0,0,0,0,0,0,0,0,0,1
8435,6731,2,65,3,6,0,NA,2037,0,2,0,0,0,0,0,0,0,1,0,0
8452,3159,2,47,17,5,1,NA,1368,0,9,0,1,0,0,0,0,0,0,0,0
8460,4193,2,40,20,5,1,NA,1204,0,3,0,0,0,0,0,0,0,0,1,0
8477,2831,2,65,21,6,0,NA,931,0,10,0,0,0,0,0,0,0,0,0,1
8494,801,2,18,8,4,1,NA,1473,0,6,0,0,0,0,1,0,0,0,0,0
8499,4190,2,28,18,5,1,NA,1696,0,1,0,0,0,0,0,1,0,0,0,0
8558,8308,2,60,3,3,0,NA,2539,0,5,0,0,1,0,0,0,0,0,0,0
8588,6357,2,38,20,7,1,NA,2148,1,1,0,0,0,0,0,1,0,0,0,0
8594,10644,2,25,5,5,1,NA,1812,0,6,0,0,0,0,1,0,0,0,0,0
8598,3507,2,23,30,2,1,NA,1167,0,2,0,0,0,0,0,0,0,1,0,0
8643,3619,2,26,6,2,1,NA,1563,0,7,1,0,0,0,0,0,0,0,0,0
