SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_14,adm2_15,adm2_12,adm2_1,adm2_3,adm2_8,adm2_10,adm2_11,adm2_4,adm2_13,adm2_7,adm2_2,adm2_5,adm2_6
20060,9001,2,26,14,2,1,NA,2121,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20157,3942,2,24,3,6,1,NA,1351,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20202,10329,2,32,29,1,1,NA,2115,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20207,10954,2,55,25,4,0,NA,1477,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20227,11090,2,40,2,4,1,NA,1638,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20258,7723,2,50,21,3,0,NA,1665,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20261,666,2,20,10,6,1,NA,1803,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20301,1189,2,21,3,3,1,NA,3409,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20303,11899,2,42,28,2,1,NA,2527,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20305,1410,2,43,22,5,1,NA,2289,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20334,7278,2,25,21,5,1,NA,1538,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20348,6563,2,43,4,6,1,NA,1993,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20362,8754,2,29,11,2,1,NA,1751,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20374,10011,2,47,25,5,1,NA,1950,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20430,2786,2,43,6,1,1,NA,2200,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20442,7182,2,19,13,1,1,NA,2106,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20449,7182,2,22,13,1,1,NA,1723,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20462,5981,2,62,6,2,0,NA,1808,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20494,7100,2,31,28,4,1,NA,1533,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20523,7255,2,35,18,6,1,NA,2292,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20531,11889,2,20,9,4,1,NA,1721,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20536,2277,2,48,22,3,1,NA,2184,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20583,5425,2,40,4,2,1,NA,2368,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20597,5080,2,34,12,4,1,NA,1853,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20641,8689,2,55,13,3,0,NA,1504,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20647,3709,2,23,3,3,1,NA,1354,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20712,8434,2,30,23,7,1,NA,1879,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
