SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_4,adm2_8,adm2_7,adm2_3,adm2_10,adm2_6,adm2_5,adm2_9,adm2_1
34796,1344,2,22,13,2,1,NA,1597,0,9,0,0,0,0,0,0,0,0,1,0
34854,5289,2,23,20,6,1,NA,1504,0,6,0,0,0,0,0,0,1,0,0,0
34861,6338,2,26,21,5,0,3,2122,0,10,0,0,0,0,0,1,0,0,0,0
34863,2862,2,62,22,3,0,NA,1360,0,4,0,1,0,0,0,0,0,0,0,0
34897,8487,2,49,25,6,1,NA,2041,0,8,0,0,1,0,0,0,0,0,0,0
34920,8681,2,35,15,7,1,NA,755,1,10,0,0,0,0,0,1,0,0,0,0
34955,9198,2,20,7,3,1,NA,1994,0,5,0,0,0,0,0,0,0,1,0,0
34957,7703,2,30,23,5,1,NA,2112,0,3,0,0,0,0,1,0,0,0,0,0
34959,9997,2,60,6,4,0,NA,1524,0,1,0,0,0,0,0,0,0,0,0,1
34985,3657,2,55,2,3,0,NA,2123,0,2,1,0,0,0,0,0,0,0,0,0
35023,8149,2,40,11,6,1,NA,1658,0,5,0,0,0,0,0,0,0,1,0,0
35043,3870,2,49,31,3,1,NA,2725,0,8,0,0,1,0,0,0,0,0,0,0
35067,2059,2,32,1,1,1,NA,1852,1,5,0,0,0,0,0,0,0,1,0,0
35068,4199,2,27,1,1,1,NA,1494,1,5,0,0,0,0,0,0,0,1,0,0
35075,2710,2,55,10,4,0,NA,2092,0,7,0,0,0,1,0,0,0,0,0,0
35085,1146,2,28,8,5,1,NA,2436,0,7,0,0,0,1,0,0,0,0,0,0
35087,9490,2,58,31,2,0,NA,1371,0,5,0,0,0,0,0,0,0,1,0,0
35109,11157,2,23,24,7,1,NA,2185,1,4,0,1,0,0,0,0,0,0,0,0
35117,4446,2,62,18,6,0,NA,1287,0,7,0,0,0,1,0,0,0,0,0,0
35127,8547,2,40,8,6,1,NA,1901,0,10,0,0,0,0,0,1,0,0,0,0
35186,8102,2,37,28,6,1,NA,2387,0,1,0,0,0,0,0,0,0,0,0,1
35192,1946,2,28,9,5,1,NA,1772,0,5,0,0,0,0,0,0,0,1,0,0
35226,2819,2,35,1,1,1,NA,2217,1,6,0,0,0,0,0,0,1,0,0,0
35229,6950,2,20,15,7,1,NA,1605,1,10,0,0,0,0,0,1,0,0,0,0
35234,6540,2,25,13,2,1,NA,2000,0,9,0,0,0,0,0,0,0,0,1,0
35283,10421,2,45,18,7,1,NA,2290,1,3,0,0,0,0,1,0,0,0,0,0
