SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_2,adm2_7,adm2_10,adm2_5,adm2_6,adm2_4
33739,481,1,22,20,3,NA,NA,1998,0,2,0,0,0,0,1,0,0,0,0,0
33753,2390,1,38,28,6,NA,NA,1399,0,3,0,1,0,0,0,0,0,0,0,0
33768,6889,1,31,16,6,NA,NA,1232,0,8,0,0,0,1,0,0,0,0,0,0
33782,1858,1,26,3,3,NA,NA,2251,0,5,0,0,0,0,0,0,0,1,0,0
33837,9183,1,35,28,6,NA,NA,1907,0,3,0,1,0,0,0,0,0,0,0,0
33864,4276,1,32,8,5,NA,NA,2576,0,1,0,0,1,0,0,0,0,0,0,0
33873,50,1,23,23,6,NA,NA,1009,0,6,0,0,0,0,0,0,0,0,1,0
33893,7857,1,62,22,5,NA,NA,2094,0,2,0,0,0,0,1,0,0,0,0,0
33915,11469,1,29,4,4,NA,NA,2008,0,6,0,0,0,0,0,0,0,0,1,0
33929,10327,1,45,24,5,NA,NA,2314,0,7,0,0,0,0,0,1,0,0,0,0
34043,2485,1,50,13,4,NA,NA,1827,0,3,0,1,0,0,0,0,0,0,0,0
34068,11645,1,38,3,6,NA,NA,1950,0,2,0,0,0,0,1,0,0,0,0,0
34081,2505,1,35,19,4,NA,NA,1445,0,3,0,1,0,0,0,0,0,0,0,0
34165,9656,1,65,4,4,NA,NA,2616,0,6,0,0,0,0,0,0,0,0,1,0
34175,10943,1,21,11,4,NA,NA,1451,0,10,0,0,0,0,0,0,1,0,0,0
34180,1243,1,30,10,4,NA,NA,769,0,9,1,0,0,0,0,0,0,0,0,0
34182,4019,1,40,24,7,NA,NA,1322,1,6,0,0,0,0,0,0,0,0,1,0
34203,3439,1,22,4,7,NA,NA,1109,1,7,0,0,0,0,0,1,0,0,0,0
34251,1970,1,75,14,5,NA,NA,1226,0,3,0,1,0,0,0,0,0,0,0,0
34262,1959,1,24,5,2,NA,NA,1868,0,1,0,0,1,0,0,0,0,0,0,0
34279,1883,1,33,2,2,NA,NA,2568,0,8,0,0,0,1,0,0,0,0,0,0
34284,4292,1,60,5,5,NA,NA,2364,0,5,0,0,0,0,0,0,0,1,0,0
34305,7945,1,22,14,4,NA,NA,1706,0,7,0,0,0,0,0,1,0,0,0,0
34326,3660,1,50,22,5,NA,NA,1254,0,4,0,0,0,0,0,0,0,0,0,1
34347,6016,1,70,22,5,NA,NA,1739,0,4,0,0,0,0,0,0,0,0,0,1
34349,5044,1,45,30,2,NA,NA,1084,0,7,0,0,0,0,0,1,0,0,0,0
34350,352,1,33,20,3,NA,NA,2109,0,8,0,0,0,1,0,0,0,0,0,0
34366,1938,1,75,2,4,NA,NA,1278,0,2,0,0,0,0,1,0,0,0,0,0
34367,9836,1,40,22,3,NA,NA,1375,0,7,0,0,0,0,0,1,0,0,0,0
34447,1559,1,79,19,4,NA,NA,1279,0,10,0,0,0,0,0,0,1,0,0,0
34448,5568,1,30,16,7,NA,NA,2363,1,3,0,1,0,0,0,0,0,0,0,0
34457,11833,1,30,18,2,NA,NA,1270,0,3,0,1,0,0,0,0,0,0,0,0
34463,5073,1,65,6,6,NA,NA,2660,0,5,0,0,0,0,0,0,0,1,0,0
34494,8404,1,35,8,4,NA,NA,2134,0,7,0,0,0,0,0,1,0,0,0,0
34502,1692,1,19,2,4,NA,NA,2739,0,2,0,0,0,0,1,0,0,0,0,0
34542,5351,1,18,3,6,NA,NA,902,0,7,0,0,0,0,0,1,0,0,0,0
34555,6447,1,32,30,7,NA,NA,1192,1,5,0,0,0,0,0,0,0,1,0,0
34578,4987,1,32,2,2,NA,NA,2802,0,8,0,0,0,1,0,0,0,0,0,0
34604,4824,1,24,3,6,NA,NA,1799,0,2,0,0,0,0,1,0,0,0,0,0
34711,6602,1,70,18,5,NA,NA,1958,0,1,0,0,1,0,0,0,0,0,0,0
34739,9840,1,25,14,4,NA,NA,1315,0,8,0,0,0,1,0,0,0,0,0,0
34772,8117,1,19,25,2,NA,NA,1119,0,9,1,0,0,0,0,0,0,0,0,0
34806,2361,1,19,7,4,NA,NA,1786,0,1,0,0,1,0,0,0,0,0,0,0
34825,978,1,28,23,6,NA,NA,587,0,6,0,0,0,0,0,0,0,0,1,0
34845,2701,1,66,25,2,NA,NA,804,0,5,0,0,0,0,0,0,0,1,0,0
35002,7330,1,22,30,4,NA,NA,1295,0,1,0,0,1,0,0,0,0,0,0,0
