SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_7,adm2_9,adm2_3,adm2_6,adm2_8,adm2_1,adm2_4,adm2_10,adm2_5,adm2_2
26919,5021,1,50,21,3,NA,NA,1646,0,3,0,0,1,0,0,0,0,0,0,0
26920,5966,1,20,22,5,NA,NA,1198,0,1,0,0,0,0,0,1,0,0,0,0
26940,227,1,40,2,5,NA,NA,2407,0,8,0,0,0,0,1,0,0,0,0,0
26967,9395,1,65,18,3,NA,NA,437,0,10,0,0,0,0,0,0,0,1,0,0
26993,8734,1,46,11,7,NA,NA,1743,1,5,0,0,0,0,0,0,0,0,1,0
27031,5943,1,55,16,1,NA,NA,1734,1,10,0,0,0,0,0,0,0,1,0,0
27055,4834,1,50,8,5,NA,NA,2976,0,7,1,0,0,0,0,0,0,0,0,0
27071,8177,1,70,22,2,NA,NA,2564,0,6,0,0,0,1,0,0,0,0,0,0
27120,8926,1,24,14,2,NA,NA,1316,0,4,0,0,0,0,0,0,1,0,0,0
27143,4883,1,49,23,5,NA,NA,1967,0,8,0,0,0,0,1,0,0,0,0,0
27190,5071,1,19,4,2,NA,NA,2227,0,1,0,0,0,0,0,1,0,0,0,0
27191,5015,1,32,28,4,NA,NA,1540,0,5,0,0,0,0,0,0,0,0,1,0
27205,885,1,55,16,3,NA,NA,1662,0,7,1,0,0,0,0,0,0,0,0,0
27249,2807,1,45,12,2,NA,NA,1977,0,7,1,0,0,0,0,0,0,0,0,0
27297,10022,1,30,21,3,NA,NA,2437,0,3,0,0,1,0,0,0,0,0,0,0
27323,5968,1,48,16,2,NA,NA,1128,0,3,0,0,1,0,0,0,0,0,0,0
27361,5487,1,25,18,7,NA,NA,1965,1,3,0,0,1,0,0,0,0,0,0,0
27437,5845,1,42,28,6,NA,NA,1646,0,5,0,0,0,0,0,0,0,0,1,0
27446,2215,1,27,8,4,NA,NA,3048,0,8,0,0,0,0,1,0,0,0,0,0
27514,6966,1,28,10,1,NA,NA,1712,1,10,0,0,0,0,0,0,0,1,0,0
27547,8045,1,40,23,6,NA,NA,1025,0,1,0,0,0,0,0,1,0,0,0,0
27610,7345,1,30,29,6,NA,NA,1961,0,6,0,0,0,1,0,0,0,0,0,0
27614,750,1,45,22,5,NA,NA,1591,0,5,0,0,0,0,0,0,0,0,1,0
27672,9972,1,45,2,5,NA,NA,2645,0,8,0,0,0,0,1,0,0,0,0,0
27707,424,1,22,8,2,NA,NA,1996,0,2,0,0,0,0,0,0,0,0,0,1
27711,2321,1,70,11,6,NA,NA,2036,0,5,0,0,0,0,0,0,0,0,1,0
27746,7198,1,70,5,7,NA,NA,792,1,1,0,0,0,0,0,1,0,0,0,0
27750,5721,1,25,26,5,NA,NA,1732,0,1,0,0,0,0,0,1,0,0,0,0
27791,6657,1,36,15,7,NA,NA,2177,1,10,0,0,0,0,0,0,0,1,0,0
27853,6392,1,65,21,3,NA,NA,2943,0,3,0,0,1,0,0,0,0,0,0,0
27865,2904,1,52,12,4,NA,NA,1657,0,9,0,1,0,0,0,0,0,0,0,0
27867,3628,1,35,8,5,NA,NA,1475,0,7,1,0,0,0,0,0,0,0,0,0
27892,5687,1,23,23,4,NA,NA,1672,0,7,1,0,0,0,0,0,0,0,0,0
27904,2257,1,32,16,3,NA,NA,862,0,7,1,0,0,0,0,0,0,0,0,0
27940,7013,1,20,7,2,NA,NA,1670,0,7,1,0,0,0,0,0,0,0,0,0
27958,5670,1,20,15,7,NA,NA,2435,1,10,0,0,0,0,0,0,0,1,0,0
27969,9241,1,30,6,5,NA,NA,3060,0,3,0,0,1,0,0,0,0,0,0,0
28013,11626,1,57,10,4,NA,NA,2519,0,2,0,0,0,0,0,0,0,0,0,1
28086,585,1,48,30,5,NA,NA,3385,0,2,0,0,0,0,0,0,0,0,0,1
28119,2931,1,18,23,7,NA,NA,1534,1,10,0,0,0,0,0,0,0,1,0,0
28151,8926,1,44,14,2,NA,NA,1392,0,4,0,0,0,0,0,0,1,0,0,0
28191,11620,1,21,2,3,NA,NA,2542,0,2,0,0,0,0,0,0,0,0,0,1
28212,5890,1,42,10,4,NA,NA,1583,0,7,1,0,0,0,0,0,0,0,0,0
28248,11365,1,23,10,4,NA,NA,2204,0,7,1,0,0,0,0,0,0,0,0,0
28276,5175,1,19,13,5,NA,NA,1334,0,9,0,1,0,0,0,0,0,0,0,0
28278,9409,1,70,20,1,NA,NA,1388,1,7,1,0,0,0,0,0,0,0,0,0
28318,7881,1,32,6,3,NA,NA,2718,0,7,1,0,0,0,0,0,0,0,0,0
28324,10449,1,52,18,7,NA,NA,2292,1,3,0,0,1,0,0,0,0,0,0,0
28326,8481,1,68,6,5,NA,NA,2382,0,3,0,0,1,0,0,0,0,0,0,0
28350,11429,1,42,12,4,NA,NA,1860,0,9,0,1,0,0,0,0,0,0,0,0
28362,2982,1,26,11,6,NA,NA,1920,0,5,0,0,0,0,0,0,0,0,1,0
28397,4249,1,27,16,5,NA,NA,3195,0,3,0,0,1,0,0,0,0,0,0,0
28424,390,1,72,20,1,NA,NA,2287,1,7,1,0,0,0,0,0,0,0,0,0
28426,5345,1,26,7,5,NA,NA,2206,0,9,0,1,0,0,0,0,0,0,0,0
28436,10267,1,40,8,2,NA,NA,2925,0,2,0,0,0,0,0,0,0,0,0,1
28446,8681,1,32,15,7,NA,NA,1093,1,10,0,0,0,0,0,0,0,1,0,0
28495,442,1,52,30,1,NA,NA,2834,1,5,0,0,0,0,0,0,0,0,1,0
28525,3897,1,50,22,5,NA,NA,1684,0,5,0,0,0,0,0,0,0,0,1,0
28543,10591,1,43,22,5,NA,NA,2029,0,1,0,0,0,0,0,1,0,0,0,0
28564,3965,1,30,10,7,NA,NA,2185,1,7,1,0,0,0,0,0,0,0,0,0
28571,10313,1,18,31,3,NA,NA,2618,0,8,0,0,0,0,1,0,0,0,0,0
28585,6801,1,21,15,7,NA,NA,608,1,10,0,0,0,0,0,0,0,1,0,0
28600,9995,1,32,21,5,NA,NA,2487,0,10,0,0,0,0,0,0,0,1,0,0
28612,9322,1,33,4,5,NA,NA,2772,0,2,0,0,0,0,0,0,0,0,0,1
28629,1188,1,40,20,2,NA,NA,2883,0,1,0,0,0,0,0,1,0,0,0,0
28680,8011,1,30,7,2,NA,NA,1407,0,7,1,0,0,0,0,0,0,0,0,0
28694,2906,1,57,6,4,NA,NA,2007,0,10,0,0,0,0,0,0,0,1,0,0
28741,780,1,26,24,5,NA,NA,2838,0,5,0,0,0,0,0,0,0,0,1,0
28776,3889,1,47,20,2,NA,NA,2558,0,3,0,0,1,0,0,0,0,0,0,0
28816,9642,1,46,4,2,NA,NA,2035,0,1,0,0,0,0,0,1,0,0,0,0
28857,11265,1,20,12,4,NA,NA,1089,0,9,0,1,0,0,0,0,0,0,0,0
28858,3737,1,30,10,7,NA,NA,2419,1,7,1,0,0,0,0,0,0,0,0,0
28861,8509,1,25,5,3,NA,NA,1467,0,9,0,1,0,0,0,0,0,0,0,0
28918,3655,1,30,23,5,NA,NA,1935,0,3,0,0,1,0,0,0,0,0,0,0
28937,7280,1,37,16,3,NA,NA,2150,0,7,1,0,0,0,0,0,0,0,0,0
28962,10740,1,22,15,1,NA,NA,2244,1,3,0,0,1,0,0,0,0,0,0,0
28989,4265,1,38,25,2,NA,NA,1511,0,10,0,0,0,0,0,0,0,1,0,0
29000,6485,1,55,13,2,NA,NA,2801,0,9,0,1,0,0,0,0,0,0,0,0
29048,3452,1,62,8,4,NA,NA,3507,0,8,0,0,0,0,1,0,0,0,0,0
29058,5071,1,50,4,2,NA,NA,2918,0,1,0,0,0,0,0,1,0,0,0,0
29064,7510,1,30,11,7,NA,NA,3625,1,9,0,1,0,0,0,0,0,0,0,0
29094,3700,1,33,24,7,NA,NA,3015,1,4,0,0,0,0,0,0,1,0,0,0
29166,9964,1,22,10,2,NA,NA,2123,0,3,0,0,1,0,0,0,0,0,0,0
29209,2800,1,50,1,3,NA,NA,117,0,2,0,0,0,0,0,0,0,0,0,1
29337,558,1,35,8,6,NA,NA,1153,0,10,0,0,0,0,0,0,0,1,0,0
29350,7476,1,36,7,3,NA,NA,1616,0,5,0,0,0,0,0,0,0,0,1,0
29444,8124,1,61,6,5,NA,NA,2934,0,3,0,0,1,0,0,0,0,0,0,0
29452,8987,1,33,23,4,NA,NA,1917,0,8,0,0,0,0,1,0,0,0,0,0
29459,11571,1,32,31,2,NA,NA,2508,0,5,0,0,0,0,0,0,0,0,1,0
29476,8009,1,50,10,4,NA,NA,1961,0,7,1,0,0,0,0,0,0,0,0,0
29495,11515,1,32,8,3,NA,NA,2157,0,4,0,0,0,0,0,0,1,0,0,0
29522,9926,1,40,23,4,NA,NA,1850,0,7,1,0,0,0,0,0,0,0,0,0
29607,2350,1,56,6,4,NA,NA,2174,0,10,0,0,0,0,0,0,0,1,0,0
29647,11080,1,55,6,4,NA,NA,2785,0,10,0,0,0,0,0,0,0,1,0,0
29683,1201,1,45,5,7,NA,NA,1786,1,7,1,0,0,0,0,0,0,0,0,0
29686,5128,1,32,29,7,NA,NA,2359,1,5,0,0,0,0,0,0,0,0,1,0
29721,3016,1,70,22,2,NA,NA,1247,0,6,0,0,0,1,0,0,0,0,0,0
29777,8451,1,18,6,5,NA,NA,1964,0,3,0,0,1,0,0,0,0,0,0,0
29782,3349,1,35,15,4,NA,NA,2738,0,3,0,0,1,0,0,0,0,0,0,0
29794,4808,1,48,3,5,NA,NA,1187,0,2,0,0,0,0,0,0,0,0,0,1
29801,1011,1,49,8,4,NA,NA,2284,0,8,0,0,0,0,1,0,0,0,0,0
29841,3063,1,47,19,7,NA,NA,1176,1,8,0,0,0,0,1,0,0,0,0,0
29845,285,1,40,26,7,NA,NA,1771,1,2,0,0,0,0,0,0,0,0,0,1
29926,8468,1,50,4,6,NA,NA,2334,0,7,1,0,0,0,0,0,0,0,0,0
29940,4245,1,60,13,2,NA,NA,1760,0,9,0,1,0,0,0,0,0,0,0,0
29968,4065,1,45,20,6,NA,NA,1663,0,6,0,0,0,1,0,0,0,0,0,0
30011,7535,1,19,20,2,NA,NA,1728,0,3,0,0,1,0,0,0,0,0,0,0
30020,8981,1,70,11,7,NA,NA,832,1,5,0,0,0,0,0,0,0,0,1,0
30030,5116,1,44,10,7,NA,NA,2158,1,7,1,0,0,0,0,0,0,0,0,0
30074,1097,1,45,18,7,NA,NA,2166,1,3,0,0,1,0,0,0,0,0,0,0
30087,3114,1,26,8,2,NA,NA,2631,0,2,0,0,0,0,0,0,0,0,0,1
30088,2376,1,25,1,1,NA,NA,3000,1,6,0,0,0,1,0,0,0,0,0,0
30107,9037,1,55,19,3,NA,NA,1840,0,10,0,0,0,0,0,0,0,1,0,0
