SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_14,adm2_15,adm2_12,adm2_1,adm2_3,adm2_8,adm2_10,adm2_11,adm2_4,adm2_13,adm2_7,adm2_2,adm2_5,adm2_6
1694,2158,2,19,5,7,1,NA,29,5,1,NA,110,5,1,NA,5.55,5,1,NA,5.210000000000001,5,1,NA,0.7587,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1828,5959,2,47,8,4,1,NA,63,8,1,NA,98,8,1,NA,5.439999999999999,8,1,NA,5.389999999999999,8,1,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1829,11199,2,59,24,1,NA,NA,36,24,NA,NA,169,24,NA,NA,8.649999999999997,24,NA,NA,4.6,24,0,NA,0.6003000000000001,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1883,4897,2,65,28,2,NA,NA,87,28,NA,NA,145,28,NA,NA,7.4399999999999995,28,NA,NA,5.3,28,0,NA,2.9568000000000003,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1903,391,2,44,2,6,1,NA,72,2,1,NA,105,2,1,NA,6.94,2,1,NA,5.119999999999999,2,1,NA,3.95,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1913,4354,2,38,3,3,1,NA,8,3,1,NA,47,3,1,NA,5.02,3,1,NA,4.159999999999999,3,1,NA,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1918,5265,2,76,29,3,NA,NA,100,29,NA,NA,280,29,NA,NA,17.259999999999998,29,NA,NA,9.129999999999997,29,0,NA,0.8334999999999999,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1990,2647,2,23,6,2,1,NA,30,6,1,NA,60,6,1,NA,4.38,6,1,NA,4.13,6,1,NA,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,10035,2,31,11,6,1,NA,51,11,1,NA,96,11,1,NA,7.830000000000001,11,1,NA,5.6000000000000005,11,1,NA,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2049,4386,2,22,4,7,1,NA,106,4,1,NA,135,4,1,NA,5.159999999999999,4,1,NA,4.1899999999999995,4,1,NA,1.836,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2085,3998,2,20,22,7,1,NA,257,22,1,NA,236,22,1,NA,25.620000000000005,22,1,NA,8.829999999999998,22,1,NA,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2091,10586,2,40,8,5,1,NA,42,8,1,NA,136,8,1,NA,7.7799999999999985,8,1,NA,5.180000000000001,8,1,NA,0.6030000000000001,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2113,3861,2,21,5,5,1,NA,108,5,1,NA,117,5,1,NA,6.39,5,1,NA,5.309999999999999,5,1,NA,1.197,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2128,2833,2,30,22,3,1,NA,170,22,1,NA,123,22,1,NA,6.640000000000001,22,1,NA,5.91,22,1,NA,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2194,3376,2,30,6,1,1,NA,29,6,1,NA,67,6,1,NA,5.35,6,1,NA,4.139999999999999,6,1,NA,0.2511,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2215,7292,2,37,3,1,1,NA,36,3,1,NA,123,3,1,NA,6.2799999999999985,3,1,NA,7.069999999999998,3,1,NA,0.7182,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2274,11889,2,46,9,4,1,NA,42,9,1,NA,110,9,1,NA,8.859999999999998,9,1,NA,5.319999999999999,9,1,NA,0.6336,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2322,4638,2,24,6,6,1,NA,226,6,1,NA,100,6,1,NA,13.4,6,1,NA,4.469999999999998,6,1,NA,1.2726,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2362,11458,2,26,29,1,1,NA,118,29,1,NA,219,29,1,NA,9.120000000000001,29,1,NA,7.429999999999999,29,1,NA,0.325,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2395,1911,2,42,10,5,1,NA,85,10,1,NA,223,10,1,NA,10.890000000000002,10,1,NA,9.939999999999996,10,1,NA,1.8261,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2422,1317,2,20,11,6,1,NA,66,11,1,NA,110,11,1,NA,8,11,1,NA,7.859999999999999,11,1,NA,0.5724,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2489,8536,2,39,9,4,1,NA,37,9,1,NA,93,9,1,NA,4.92,9,1,NA,4.759999999999997,9,1,NA,0.4581,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2491,10578,2,20,9,4,1,NA,144,9,1,NA,223,9,1,NA,6.750000000000001,9,1,NA,4.77,9,1,NA,0.4032,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2514,7880,2,26,30,6,1,NA,61,30,1,NA,1084,30,1,NA,5.869999999999999,30,1,NA,5.259999999999999,30,1,NA,2.345,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2564,10885,2,38,14,2,1,NA,34,14,1,NA,30,14,1,NA,1.58,14,1,NA,1.9900000000000002,14,1,NA,0.7974,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2573,10799,2,18,2,4,1,NA,253,2,1,NA,134,2,1,NA,4.99,2,1,NA,4.789999999999998,2,1,NA,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2622,10321,2,48,4,2,1,NA,139,4,1,NA,139,4,1,NA,11.929999999999998,4,1,NA,8.599999999999998,4,1,NA,4.101,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2708,2424,2,51,7,3,NA,NA,60,7,NA,NA,126,7,NA,NA,6.98,7,NA,NA,6.52,7,0,NA,4.5108,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2716,3987,2,56,5,3,NA,NA,79,5,NA,NA,83,5,NA,NA,4.399999999999999,5,NA,NA,3.3599999999999994,5,0,NA,0.1278,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2733,10078,2,39,29,3,1,NA,35,29,1,NA,134,29,1,NA,8.04,29,1,NA,4.56,29,1,NA,1.2654,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2742,7172,2,47,27,4,1,NA,29,27,1,NA,208,27,1,NA,11.469999999999997,27,1,NA,8.219999999999997,27,1,NA,0.09,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2779,3912,2,19,25,2,1,NA,40,25,1,NA,211,25,1,NA,23.96,25,1,NA,13.429999999999996,25,1,NA,0.28980000000000006,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2780,8268,2,75,30,6,NA,NA,23,30,NA,NA,81,30,NA,NA,4.05,30,NA,NA,3.4099999999999993,30,0,NA,0.252,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2785,4373,2,50,5,5,NA,NA,61,5,NA,NA,114,5,NA,NA,5.23,5,NA,NA,4.13,5,0,NA,2.152,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2812,11174,2,56,22,4,NA,NA,235,22,NA,NA,271,22,NA,NA,11.909999999999997,22,NA,NA,9.939999999999998,22,0,NA,2.6510000000000002,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2822,4392,2,19,18,1,1,NA,41,18,1,NA,72,18,1,NA,4.969999999999998,18,1,NA,4.699999999999999,18,1,NA,0.36,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2831,2816,2,32,14,6,1,NA,135,14,1,NA,139,14,1,NA,6.879999999999998,14,1,NA,5.96,14,1,NA,2.673,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2841,9375,2,32,11,2,1,NA,75,11,1,NA,156,11,1,NA,6.84,11,1,NA,6.55,11,1,NA,1.215,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
