SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_9,adm2_4,adm2_14,adm2_15,adm2_11,adm2_10,adm2_12,adm2_2,adm2_7,adm2_1,adm2_3,adm2_8,adm2_13,adm2_5,adm2_6
2339,5858,1,53,28,239,309,12.680000000000001,10.180000000000001,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2362,11458,2,26,29,118,219,9.120000000000001,7.429999999999999,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2386,9968,1,31,28,73,193,8.12,6.14,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2395,1911,2,42,10,85,223,10.890000000000002,9.939999999999996,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2413,4102,1,69,19,93,167,14.87,7.319999999999998,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2422,1317,2,20,11,66,110,8,7.859999999999999,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2489,8536,2,39,9,37,93,4.92,4.759999999999997,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2491,10578,2,20,9,144,223,6.750000000000001,4.77,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2504,11647,1,32,18,141,227,14.52,9.87,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2507,10501,1,32,4,39,224,8.97,6.879999999999997,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2514,7880,2,26,30,61,1084,5.869999999999999,5.259999999999999,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2552,3861,1,62,5,149,158,8.57,7.149999999999999,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2564,10885,2,38,14,34,30,1.58,1.9900000000000002,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2573,10799,2,18,2,253,134,4.99,4.789999999999998,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2603,1557,1,60,6,136,227,8.67,8.099999999999998,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
