SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_4,adm2_3,adm2_8,adm2_11,adm2_7,adm2_6,adm2_2,adm2_1,adm2_10,adm2_9,adm2_5
2267,6132,1,59,10,32,2104,8.649999999999999,5.609999999999999,0,1,0,0,0,0,0,0,0,1,0,0,0
2293,1514,2,80,18,23,73,3.5400000000000005,2.77,0,2,0,0,0,0,0,0,1,0,0,0,0
2295,8570,2,28,20,1108,447,17.17,8.659999999999998,0,9,0,0,0,0,0,0,0,0,0,1,0
2299,161,2,34,27,146,2292,8.169999999999998,6.92,0,4,1,0,0,0,0,0,0,0,0,0,0
2314,3579,2,65,3,292,110,5.93,4.18,0,3,0,1,0,0,0,0,0,0,0,0,0
2316,2332,2,19,21,71,65,4.0200000000000005,2.9699999999999998,0,5,0,0,0,0,0,0,0,0,0,0,1
2321,3932,1,41,26,19,2169,11.089999999999996,8.649999999999999,0,1,0,0,0,0,0,0,0,1,0,0,0
2335,7377,2,66,21,25,545,4.16,2.66,0,8,0,0,1,0,0,0,0,0,0,0,0
2357,8911,1,29,15,2,110,3.11,2.9000000000000004,0,8,0,0,1,0,0,0,0,0,0,0,0
2373,9517,2,23,10,38,188,8.200000000000001,5.42,0,9,0,0,0,0,0,0,0,0,0,1,0
2396,2319,1,55,5,93,416,13.25,6.749999999999997,0,6,0,0,0,0,0,1,0,0,0,0,0
2421,3847,1,35,23,159,990,8.02,4.43,0,7,0,0,0,0,1,0,0,0,0,0,0
2424,9970,2,39,22,4055,700,18.24,12.299999999999999,0,8,0,0,1,0,0,0,0,0,0,0,0
2433,11379,2,49,27,113,1006,9.639999999999999,5.289999999999998,0,6,0,0,0,0,0,1,0,0,0,0,0
2441,2304,2,65,21,39,2190,4.699999999999999,4.87,0,9,0,0,0,0,0,0,0,0,0,1,0
2452,9419,1,45,27,24,1648,5.449999999999999,4.529999999999999,0,6,0,0,0,0,0,1,0,0,0,0,0
2455,7632,2,58,4,28,255,7.919999999999999,5.199999999999998,0,6,0,0,0,0,0,1,0,0,0,0,0
2503,8057,1,42,15,45,63,7.290000000000001,5.239999999999999,0,5,0,0,0,0,0,0,0,0,0,0,1
2511,4953,2,73,10,7,772,2.41,2.37,0,1,0,0,0,0,0,0,0,1,0,0,0
2526,4789,2,38,21,36,3188,6.369999999999999,5.579999999999998,0,10,0,0,0,0,0,0,0,0,1,0,0
2533,6519,1,38,18,37,2258,4.36,2.0000000000000004,0,3,0,1,0,0,0,0,0,0,0,0,0
2541,1270,2,20,14,17,177,9.23,5.570000000000001,0,4,1,0,0,0,0,0,0,0,0,0,0
2542,8765,1,27,24,25,147,9.030000000000001,4.849999999999999,0,11,0,0,0,1,0,0,0,0,0,0,0
2578,8085,1,56,5,12,382,11.879999999999999,7.74,0,3,0,1,0,0,0,0,0,0,0,0,0
2615,5609,2,34,20,21,99,4.99,4.88,0,2,0,0,0,0,0,0,1,0,0,0,0
2626,7992,1,22,18,151,3216,9.37,7.89,0,8,0,0,1,0,0,0,0,0,0,0,0
2628,1303,2,44,17,10,106,15.96,7.6499999999999995,0,3,0,1,0,0,0,0,0,0,0,0,0
2646,183,2,45,27,204,2532,11.49,8.22,0,4,1,0,0,0,0,0,0,0,0,0,0
2656,8008,2,45,2,78,1144,11.809999999999999,6.98,0,2,0,0,0,0,0,0,1,0,0,0,0
2672,8645,1,63,15,4,53,7.63,5.579999999999999,0,3,0,1,0,0,0,0,0,0,0,0,0
2686,11366,1,51,17,251,247,14.239999999999998,9.180000000000001,0,3,0,1,0,0,0,0,0,0,0,0,0
2712,7279,1,72,15,26,43,2.32,2.41,0,8,0,0,1,0,0,0,0,0,0,0,0
2715,8202,2,39,20,47,145,3.3400000000000003,3.38,0,7,0,0,0,0,1,0,0,0,0,0,0
2722,11525,1,39,18,114,954,13.94,5.8,0,7,0,0,0,0,1,0,0,0,0,0,0
2726,9980,2,29,8,56,190,9.750000000000002,4.359999999999999,0,3,0,1,0,0,0,0,0,0,0,0,0
2749,11898,1,34,30,11,126,7.739999999999999,4.559999999999998,0,2,0,0,0,0,0,0,1,0,0,0,0
2757,1467,2,68,12,25,79,4.359999999999999,2.68,0,8,0,0,1,0,0,0,0,0,0,0,0
2758,2441,2,55,16,24,2109,5.960000000000001,5.840000000000001,0,5,0,0,0,0,0,0,0,0,0,0,1
2770,5414,2,22,27,1654,149,17.220000000000002,4.619999999999999,0,10,0,0,0,0,0,0,0,0,1,0,0
2776,5914,2,47,22,29,389,7.06,5.1000000000000005,0,11,0,0,0,1,0,0,0,0,0,0,0
2824,4821,1,25,18,23,1678,6.13,5.18,0,6,0,0,0,0,0,1,0,0,0,0,0
2833,4972,1,18,26,15,86,12.62,6.419999999999999,0,6,0,0,0,0,0,1,0,0,0,0,0
2873,9990,1,33,15,101,378,5.6,3.7899999999999996,0,1,0,0,0,0,0,0,0,1,0,0,0
2886,3678,2,28,23,120,175,9.459999999999997,6.999999999999999,0,7,0,0,0,0,1,0,0,0,0,0,0
2892,236,2,46,18,3,155,10.03,4.909999999999998,0,6,0,0,0,0,0,1,0,0,0,0,0
2909,3726,2,33,17,29,1534,4.249999999999999,5.31,0,5,0,0,0,0,0,0,0,0,0,0,1
2911,4972,1,22,26,15,76,10.769999999999998,5.54,0,6,0,0,0,0,0,1,0,0,0,0,0
2925,10787,1,72,20,12,1299,3.09,3.63,0,2,0,0,0,0,0,0,1,0,0,0,0
2926,11232,1,63,26,53,4279,8.94,6.500000000000002,0,6,0,0,0,0,0,1,0,0,0,0,0
2927,1969,1,19,21,56,2719,13.67,6.51,0,9,0,0,0,0,0,0,0,0,0,1,0
2942,7807,2,46,12,22,119,8.52,5.36,0,1,0,0,0,0,0,0,0,1,0,0,0
2956,7599,2,28,22,64,2229,10.959999999999999,7.539999999999998,0,8,0,0,1,0,0,0,0,0,0,0,0
2982,4298,1,33,22,142,8172,12.019999999999998,12.319999999999999,0,6,0,0,0,0,0,1,0,0,0,0,0
2995,6604,1,29,5,49,131,18.959999999999997,23.75,0,3,0,1,0,0,0,0,0,0,0,0,0
2997,1294,1,67,20,37,987,8.809999999999999,6.569999999999999,0,10,0,0,0,0,0,0,0,0,1,0,0
3023,7776,2,39,19,33,203,15.27,4.26,0,6,0,0,0,0,0,1,0,0,0,0,0
3039,4950,2,52,20,660,56,4.63,2.22,0,9,0,0,0,0,0,0,0,0,0,1,0
3045,10052,2,23,12,354,1184,13.69,8.07,0,8,0,0,1,0,0,0,0,0,0,0,0
3048,5920,2,24,18,11,70,4.890000000000001,4.98,0,11,0,0,0,1,0,0,0,0,0,0,0
3076,7421,2,58,5,1645,267,23.52,11.93,0,3,0,1,0,0,0,0,0,0,0,0,0
3119,2197,2,50,28,45,3120,5.570000000000001,4.51,0,11,0,0,0,1,0,0,0,0,0,0,0
3140,8916,2,40,7,15,247,12.179999999999998,8.799999999999997,1,3,0,1,0,0,0,0,0,0,0,0,0
3158,3091,1,41,12,52,2890,9.389999999999999,6.01,0,1,0,0,0,0,0,0,0,1,0,0,0
3168,2263,1,58,23,33,550,7.369999999999999,6.659999999999999,0,6,0,0,0,0,0,1,0,0,0,0,0
3199,6890,1,18,24,52,176,7.300000000000001,6.519999999999999,0,4,1,0,0,0,0,0,0,0,0,0,0
3235,1477,1,48,16,7,149,3.7800000000000002,2.8299999999999996,0,7,0,0,0,0,1,0,0,0,0,0,0
3246,2024,1,33,12,23,1188,7.2799999999999985,5.8599999999999985,0,1,0,0,0,0,0,0,0,1,0,0,0
3248,4273,1,68,24,2528,270,10.77,7.26,0,4,1,0,0,0,0,0,0,0,0,0,0
