SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_4,adm2_11,adm2_10,adm2_2,adm2_7,adm2_14,adm2_9,adm2_15,adm2_3,adm2_13,adm2_12,adm2_5,adm2_8,adm2_6,adm2_1
11752,3433,1,23,26,1207,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11758,10368,1,84,22,1786,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11796,7890,1,40,12,3054,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11825,6773,1,36,12,2681,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11828,2851,1,61,10,1906,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11915,6535,1,42,2,2460,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11951,3695,1,39,17,2436,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12028,1496,1,31,15,1512,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12128,11807,1,31,19,1997,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12142,3758,1,32,27,2251,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12169,8047,1,39,23,2416,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12203,1182,1,48,7,2046,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12215,1209,1,60,2,2016,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12238,4143,1,67,4,1785,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12249,5179,1,45,6,2510,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12266,3783,1,26,10,1187,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12328,9856,1,70,9,1237,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12405,11294,1,80,25,1485,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12424,7079,1,20,17,1831,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12469,3341,1,31,14,2779,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12484,6772,1,35,27,2192,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12485,3886,1,55,8,1939,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12492,9838,1,60,17,1472,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
