SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
5976,7779,1,22,24,787,344,15.34,8.319999999999999,0,0,5,0,0,0,0,1,0,0,0,0
6097,6714,1,34,2,15,313,18.990000000000006,10.159999999999998,0,0,4,0,0,0,0,0,0,0,1,0
6118,2836,1,40,29,959,330,29.249999999999996,18.029999999999998,0,0,5,0,0,0,0,1,0,0,0,0
6186,11357,1,30,16,135,249,15.04,10.760000000000002,0.396,0,5,0,0,0,0,1,0,0,0,0
6199,122,1,35,16,866,246,17.310000000000006,8.679999999999998,0.2403,0,8,0,0,0,1,0,0,0,0,0
6224,3882,1,70,20,22,199,17.340000000000003,13.139999999999999,2.214,0,9,1,0,0,0,0,0,0,0,0
6246,5526,1,36,20,8,190,24.049999999999997,16.29,0,0,4,0,0,0,0,0,0,0,1,0
6278,2734,1,72,3,0,58,6.54,4.789999999999998,0.14490000000000003,0,1,0,0,1,0,0,0,0,0,0
6326,5109,1,40,25,54,168,24.729999999999997,17.79,7.1145000000000005,0,7,0,0,0,0,0,1,0,0,0
6336,10571,1,60,18,60,130,13.29,9.13,0,0,6,0,0,0,0,0,0,0,0,1
6339,9463,1,60,18,7,186,14.879999999999999,9.72,0,0,5,0,0,0,0,1,0,0,0,0
6534,2131,1,26,11,16,193,10.370000000000001,7.1,0,0,2,0,0,0,0,0,0,1,0,0
6546,5225,1,65,3,3778,170,17.080000000000002,11.989999999999998,4.355400000000001,0,9,1,0,0,0,0,0,0,0,0
6576,4225,1,32,12,6,147,14.08,10.919999999999998,0.5877,0,4,0,0,0,0,0,0,0,1,0
6634,8992,1,34,4,20,288,21.210000000000004,15.459999999999996,0.7497,0,4,0,0,0,0,0,0,0,1,0
6650,1966,1,75,23,8,140,17.560000000000002,9.95,0,0,1,0,0,1,0,0,0,0,0,0
6682,3332,1,25,14,68,210,20.279999999999994,13.129999999999997,1.6543,0,1,0,0,1,0,0,0,0,0,0
6727,2559,1,42,9,483,469,13.410000000000002,8.19,0,0,9,1,0,0,0,0,0,0,0,0
6738,3428,1,32,18,29,104,9.930000000000001,7.119999999999999,0.2943,0,9,1,0,0,0,0,0,0,0,0
6776,7626,1,69,27,7,275,24.71,17.630000000000003,3.2327999999999997,0,6,0,0,0,0,0,0,0,0,1
6778,5460,1,18,16,52,190,16.1,11.299999999999997,0.34380000000000005,0,5,0,0,0,0,1,0,0,0,0
6872,3498,1,35,22,2,103,13.46,9.45,0,0,6,0,0,0,0,0,0,0,0,1
6884,1360,1,19,18,50,144,10.719999999999999,9.639999999999999,0.1944,0,9,1,0,0,0,0,0,0,0,0
