SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_1,adm2_5,adm2_2,adm2_8,adm2_4,adm2_7,adm2_6,adm2_3
21037,1341,1,48,25,1407,0,2,0,0,1,0,0,0,0,0
21101,4467,1,42,29,1530,0,2,0,0,1,0,0,0,0,0
21116,4417,1,40,26,2279,0,8,0,0,0,1,0,0,0,0
21156,469,1,40,21,1750,0,8,0,0,0,1,0,0,0,0
21157,954,1,40,21,1763,0,8,0,0,0,1,0,0,0,0
21229,8386,1,27,14,1828,0,1,1,0,0,0,0,0,0,0
21273,3694,1,56,19,1617,0,5,0,1,0,0,0,0,0,0
21305,11828,1,21,22,2069,0,8,0,0,0,1,0,0,0,0
21313,8304,1,20,20,2176,0,5,0,1,0,0,0,0,0,0
21365,7780,1,36,23,1867,0,5,0,1,0,0,0,0,0,0
21385,4041,1,38,19,2105,0,7,0,0,0,0,0,1,0,0
21413,2625,1,25,9,1908,0,2,0,0,1,0,0,0,0,0
21440,1079,1,25,16,2112,0,5,0,1,0,0,0,0,0,0
21449,664,1,30,23,2038,0,2,0,0,1,0,0,0,0,0
21513,9081,1,37,18,2243,0,6,0,0,0,0,0,0,1,0
21539,7420,1,53,14,2554,0,1,1,0,0,0,0,0,0,0
21544,11415,1,30,21,1916,0,2,0,0,1,0,0,0,0,0
21608,8436,1,25,16,2122,0,6,0,0,0,0,0,0,1,0
21620,4547,1,36,16,1870,0,6,0,0,0,0,0,0,1,0
21662,641,1,70,11,1457,0,3,0,0,0,0,0,0,0,1
21692,5319,1,55,17,1889,0,4,0,0,0,0,1,0,0,0
21705,4872,1,40,18,2069,0,3,0,0,0,0,0,0,0,1
21778,7217,1,30,8,2143,0,5,0,1,0,0,0,0,0,0
21839,3097,1,44,24,3737,0,8,0,0,0,1,0,0,0,0
21842,5878,1,51,23,2151,0,2,0,0,1,0,0,0,0,0
21854,11686,1,72,23,1580,0,8,0,0,0,1,0,0,0,0
21962,4072,1,27,19,1876,0,4,0,0,0,0,1,0,0,0
22080,11425,1,22,5,1774,0,2,0,0,1,0,0,0,0,0
22147,4285,1,55,19,1708,0,8,0,0,0,1,0,0,0,0
22197,11575,1,55,22,1975,0,4,0,0,0,0,1,0,0,0
22199,3407,1,34,20,1910,0,1,1,0,0,0,0,0,0,0
22234,8910,1,65,23,1910,0,4,0,0,0,0,1,0,0,0
22278,9194,1,18,15,2286,0,6,0,0,0,0,0,0,1,0
