SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_4,adm2_3,adm2_5,adm2_7,adm2_6,adm2_11,adm2_10,adm2_8,adm2_1,adm2_9
4886,3962,1,37,15,2367,0,1,0,0,0,0,0,0,0,0,0,1,0
4932,1137,1,20,1,2265,1,7,0,0,0,0,1,0,0,0,0,0,0
4958,11079,1,50,1,2014,1,7,0,0,0,0,1,0,0,0,0,0,0
5018,2705,1,26,12,2614,0,4,0,1,0,0,0,0,0,0,0,0,0
5022,5597,1,45,22,1900,0,2,1,0,0,0,0,0,0,0,0,0,0
5034,6742,1,65,24,2175,0,8,0,0,0,0,0,0,0,0,1,0,0
5048,2864,1,55,9,1767,0,2,1,0,0,0,0,0,0,0,0,0,0
5082,4868,1,70,5,2005,0,9,0,0,0,0,0,0,0,0,0,0,1
5115,9623,1,35,11,2159,0,3,0,0,1,0,0,0,0,0,0,0,0
5139,1459,1,58,13,1933,0,11,0,0,0,0,0,0,1,0,0,0,0
5142,11518,1,30,20,2188,0,8,0,0,0,0,0,0,0,0,1,0,0
5172,4290,1,72,18,1972,0,7,0,0,0,0,1,0,0,0,0,0,0
5183,8129,1,30,13,1784,0,9,0,0,0,0,0,0,0,0,0,0,1
5229,5390,1,63,19,1983,0,11,0,0,0,0,0,0,1,0,0,0,0
5253,10602,1,22,24,1933,0,8,0,0,0,0,0,0,0,0,1,0,0
5303,10835,1,40,1,1774,1,7,0,0,0,0,1,0,0,0,0,0,0
5402,1867,1,60,17,2462,0,4,0,1,0,0,0,0,0,0,0,0,0
5521,11255,1,61,20,2668,0,9,0,0,0,0,0,0,0,0,0,0,1
5585,11752,1,42,15,2380,0,1,0,0,0,0,0,0,0,0,0,1,0
5761,1817,1,20,26,3011,0,2,1,0,0,0,0,0,0,0,0,0,0
5772,2058,1,70,24,1399,0,11,0,0,0,0,0,0,1,0,0,0,0
5829,6345,1,20,18,2067,0,11,0,0,0,0,0,0,1,0,0,0,0
5857,8860,1,32,20,1906,0,11,0,0,0,0,0,0,1,0,0,0,0
5922,11285,1,36,13,2226,0,1,0,0,0,0,0,0,0,0,0,1,0
5931,4866,1,80,20,1857,0,1,0,0,0,0,0,0,0,0,0,1,0
5945,10472,1,38,22,2004,0,11,0,0,0,0,0,0,1,0,0,0,0
5961,4522,1,50,15,3032,0,1,0,0,0,0,0,0,0,0,0,1,0
5977,10068,1,50,30,2090,0,3,0,0,1,0,0,0,0,0,0,0,0
