SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_5,adm2_7,adm2_2,adm2_4,adm2_6
1037,4832,1,65,18,1719,0,8,0,0,0,1,0,0,0,0,0
1110,10568,1,65,13,2017,0,9,1,0,0,0,0,0,0,0,0
1209,7835,1,28,16,1821,0,9,1,0,0,0,0,0,0,0,0
1227,7472,1,30,4,1949,0,3,0,1,0,0,0,0,0,0,0
1267,8980,1,28,31,2448,0,7,0,0,0,0,0,1,0,0,0
1279,2568,1,25,12,1137,0,8,0,0,0,1,0,0,0,0,0
1321,5245,1,44,19,2139,0,9,1,0,0,0,0,0,0,0,0
1393,80,1,19,10,584,0,8,0,0,0,1,0,0,0,0,0
1481,8895,1,36,10,1472,0,8,0,0,0,1,0,0,0,0,0
1490,4505,1,22,18,2674,0,1,0,0,1,0,0,0,0,0,0
1535,9615,1,18,14,1466,0,8,0,0,0,1,0,0,0,0,0
1599,8241,1,25,22,1938,0,4,0,0,0,0,0,0,0,1,0
1615,1795,1,30,22,3216,0,7,0,0,0,0,0,1,0,0,0
1621,1747,1,50,27,2198,0,3,0,1,0,0,0,0,0,0,0
1653,11073,1,60,18,3411,0,6,0,0,0,0,0,0,0,0,1
1684,7574,1,49,21,1655,0,6,0,0,0,0,0,0,0,0,1
1749,8912,1,60,20,1234,0,9,1,0,0,0,0,0,0,0,0
1850,8822,1,30,16,2365,0,8,0,0,0,1,0,0,0,0,0
1887,7845,1,40,25,1662,0,5,0,0,0,0,1,0,0,0,0
1972,9480,1,20,29,796,0,7,0,0,0,0,0,1,0,0,0
2015,1551,1,34,30,1214,0,1,0,0,1,0,0,0,0,0,0
2024,4184,1,45,18,894,0,5,0,0,0,0,1,0,0,0,0
2026,1882,1,55,28,1294,0,4,0,0,0,0,0,0,0,1,0
2053,9159,1,45,25,1553,0,1,0,0,1,0,0,0,0,0,0
2082,8419,1,40,19,1288,0,3,0,1,0,0,0,0,0,0,0
2086,6329,1,60,9,1150,0,7,0,0,0,0,0,1,0,0,0
2088,9091,1,32,27,1547,0,6,0,0,0,0,0,0,0,0,1
2129,10829,1,20,13,1490,0,8,0,0,0,1,0,0,0,0,0
2171,10394,1,58,7,2177,1,8,0,0,0,1,0,0,0,0,0
2195,3385,1,18,10,1708,0,4,0,0,0,0,0,0,0,1,0
2239,6148,1,45,3,1745,0,8,0,0,0,1,0,0,0,0,0
2298,1705,1,38,4,1578,0,5,0,0,0,0,1,0,0,0,0
2446,80,1,50,10,783,0,8,0,0,0,1,0,0,0,0,0
